NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_FOREBRAIN_REGIONALIZATION	24		Rejected!	
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	52	41		
GOBP_FOREBRAIN_NEUROBLAST_DIVISION	5		Rejected!	
GOBP_FOREBRAIN_NEURON_FATE_COMMITMENT	7		Rejected!	
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	43	34		
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	24	20		
GOBP_FOREBRAIN_CELL_MIGRATION	65	56		
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	8		Rejected!	
GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	13		Rejected!	
GOBP_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT	8		Rejected!	
GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	11		Rejected!	
GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DEVELOPMENT	7		Rejected!	
GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	27	19		
GOBP_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING	11		Rejected!	
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	23	22		
GOBP_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_VENTRAL_SPINAL_CORD_PATTERNING	6		Rejected!	
GOBP_NEURAL_TUBE_DEVELOPMENT	164	150		
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	8		Rejected!	
GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION	5		Rejected!	
GOBP_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	10		Rejected!	
GOBP_CEREBELLAR_PURKINJE_CELL_GRANULE_CELL_PRECURSOR_CELL_SIGNALING_INVOLVED_IN_REGULATION_OF_GRANULE_CELL_PRECURSOR_CELL_PROLIFERATION	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	8		Rejected!	
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	28	26		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	174	136		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT	85	73		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS	37	34		
GOBP_CORTICOSPINAL_TRACT_MORPHOGENESIS	7		Rejected!	
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	6		Rejected!	
GOBP_TELENCEPHALON_REGIONALIZATION	13		Rejected!	
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	12		Rejected!	
GOBP_PITUITARY_GLAND_DEVELOPMENT	42	30		
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	16		Rejected!	
GOBP_CEREBRAL_CORTEX_DEVELOPMENT	117	104		
GOBP_OLFACTORY_LOBE_DEVELOPMENT	37	28		
GOBP_NEURAL_PLATE_ANTERIOR_POSTERIOR_REGIONALIZATION	5		Rejected!	
GOBP_NEUROGENESIS	1669		Rejected!	
GOBP_TANGENTIAL_MIGRATION_FROM_THE_SUBVENTRICULAR_ZONE_TO_THE_OLFACTORY_BULB	8		Rejected!	
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION	25	23		
GOBP_METENCEPHALON_DEVELOPMENT	111	93		
GOBP_CORPUS_CALLOSUM_DEVELOPMENT	14		Rejected!	
GOBP_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	10		Rejected!	
GOBP_CELL_CYCLE_PROCESS	1275		Rejected!	
GOBP_MEMBRANE_DOCKING	93	91		
GOBP_REGULATION_OF_CELL_CELL_ADHESION	492	390		
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	202	156		
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	322	255		
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	488	449		
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	430	327		
GOBP_PROTEIN_MATURATION_BY_PROTEIN_FOLDING	8		Rejected!	
GOBP_DIGESTIVE_SYSTEM_PROCESS	106	77		
GOBP_OVULATION_CYCLE_PROCESS	51	46		
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	988		Rejected!	
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	311	295		
GOBP_MAMMALIAN_OOGENESIS_STAGE	9		Rejected!	
GOBP_GLAND_MORPHOGENESIS	124	109		
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	487	446		
GOBP_MEMBRANE_TO_MEMBRANE_DOCKING	5		Rejected!	
GOBP_DNA_STRAND_ELONGATION	37	36		
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	64	50		
GOBP_ELECTRON_TRANSPORT_CHAIN	176	167		
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	122	118		
GOBP_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	22	18		
GOBP_CD40_SIGNALING_PATHWAY	16		Rejected!	
GOBP_NEURONAL_SIGNAL_TRANSDUCTION	7		Rejected!	
GOBP_POSITIVE_REGULATION_OF_SIGNALING	1758		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1431		Rejected!	
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	24	19		
GOBP_SIGNAL_RELEASE	472	390		
GOBP_METAL_ION_TRANSPORT	909		Rejected!	
GOBP_CELLULAR_ANION_HOMEOSTASIS	20		Rejected!	
GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	114	93		
GOBP_CELLULAR_POTASSIUM_ION_HOMEOSTASIS	14		Rejected!	
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	152	144		
GOBP_MAINTENANCE_OF_CELL_POLARITY	20	19		
GOBP_ACTIN_FILAMENT_BASED_PROCESS	819		Rejected!	
GOBP_CELL_PROJECTION_ORGANIZATION	1576		Rejected!	
GOBP_CELL_PROJECTION_ASSEMBLY	607		Rejected!	
GOBP_LAMELLIPODIUM_ASSEMBLY	73	66		
GOBP_MICROVILLUS_ASSEMBLY	22	22		
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	59	55		
GOBP_PARALLEL_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	7		Rejected!	
GOBP_ACTIN_MODIFICATION	5		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	134	120		
GOBP_INSULIN_PROCESSING	7		Rejected!	
GOBP_INSULIN_SECRETION	183	152		
GOBP_PROTEIN_REPAIR	7		Rejected!	
GOBP_MYELOID_CELL_DIFFERENTIATION	409	350		
GOBP_REGULATION_OF_ENDOCYTOSIS	212	184		
GOBP_NATURAL_KILLER_CELL_ACTIVATION	100	62		
GOBP_WATER_HOMEOSTASIS	69	48		
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	337	299		
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	111	98		
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX	20	20		
GOBP_REGULATION_OF_CELL_ADHESION	805		Rejected!	
GOBP_PANCREATIC_JUICE_SECRETION	13		Rejected!	
GOBP_REGULATION_OF_PROTEOLYSIS	752		Rejected!	
GOBP_PROTEIN_CATABOLIC_PROCESS	1013		Rejected!	
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	62	56		
GOBP_PROTEOGLYCAN_CATABOLIC_PROCESS	9		Rejected!	
GOBP_PLATELET_ACTIVATION	134	113		
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION	15		Rejected!	
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	144	134		
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	175	150		
GOBP_B_CELL_DIFFERENTIATION	152	117		
GOBP_NITRIC_OXIDE_TRANSPORT	5		Rejected!	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	64	61		
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_CATABOLIC_PROCESS	7		Rejected!	
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	40	36		
GOBP_HEPARIN_METABOLIC_PROCESS	16	15		
GOBP_DERMATAN_SULFATE_METABOLIC_PROCESS	6		Rejected!	
GOBP_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	18	17		
GOBP_DERMATAN_SULFATE_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_HEPARIN_BIOSYNTHETIC_PROCESS	11		Rejected!	
GOBP_HYALURONAN_METABOLIC_PROCESS	35	30		
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	14		Rejected!	
GOBP_HYALURONAN_CATABOLIC_PROCESS	16		Rejected!	
GOBP_KERATINOCYTE_DIFFERENTIATION	170	99		
GOBP_T_CELL_DIFFERENTIATION	296	244		
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	66	59		
GOBP_EOSINOPHIL_DIFFERENTIATION	5		Rejected!	
GOBP_NEUTROPHIL_DIFFERENTIATION	10		Rejected!	
GOBP_MONOCYTE_DIFFERENTIATION	36	34		
GOBP_MACROPHAGE_DIFFERENTIATION	51	41		
GOBP_MALE_SEX_DETERMINATION	14		Rejected!	
GOBP_SKELETAL_MUSCLE_THIN_FILAMENT_ASSEMBLY	6		Rejected!	
GOBP_AUTOPHAGY_OF_PEROXISOME	6		Rejected!	
GOBP_GROWTH_HORMONE_SECRETION	14		Rejected!	
GOBP_LIPID_MODIFICATION	214	186		
GOBP_LIPID_GLYCOSYLATION	12		Rejected!	
GOBP_CHROMOSOME_CONDENSATION	49	43		
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	5		Rejected!	
GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	22		Rejected!	
GOBP_REGULATION_OF_OSSIFICATION	121	111		
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	38	30		
GOBP_BONE_MINERALIZATION	122	111		
GOBP_INTESTINAL_CHOLESTEROL_ABSORPTION	19		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	167	147		
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	188	171		
GOBP_POLY_N_ACETYLLACTOSAMINE_METABOLIC_PROCESS	10		Rejected!	
GOBP_OSTEOCLAST_DIFFERENTIATION	100	82		
GOBP_MELANOCYTE_DIFFERENTIATION	26	23		
GOBP_CELLULAR_MONOVALENT_INORGANIC_ANION_HOMEOSTASIS	11		Rejected!	
GOBP_TRANSEPITHELIAL_CHLORIDE_TRANSPORT	9		Rejected!	
GOBP_STABILIZATION_OF_MEMBRANE_POTENTIAL	17		Rejected!	
GOBP_ADRENAL_GLAND_DEVELOPMENT	27	22		
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	74	70		
GOBP_FRUCTOSE_1_6_BISPHOSPHATE_METABOLIC_PROCESS	10		Rejected!	
GOBP_MEMBRANE_DISASSEMBLY	12		Rejected!	
GOBP_SIRNA_PROCESSING	9		Rejected!	
GOBP_SLEEP	29	22		
GOBP_PERISTALSIS	12		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	86	83		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	23	17		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	10		Rejected!	
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	6		Rejected!	
GOBP_TRNA_METHYLATION	42	42		
GOBP_MATURATION_OF_SSU_RRNA	55	54		
GOBP_FATTY_ACID_ELONGATION	13		Rejected!	
GOBP_REGULATION_OF_BONE_MINERALIZATION	82	74		
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	45	42		
GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION	20		Rejected!	
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	111	92		
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	99	88		
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	41	36		
GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	63	50		
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	45	41		
GOBP_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	54	47		
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	47	42		
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	267	238		
GOBP_ADULT_BEHAVIOR	143	119		
GOBP_MALE_GENITALIA_DEVELOPMENT	24	20		
GOBP_FEMALE_GENITALIA_DEVELOPMENT	18	16		
GOBP_COLLAGEN_CATABOLIC_PROCESS	45	37		
GOBP_NUCLEAR_BODY_ORGANIZATION	17	15		
GOBP_PML_BODY_ORGANIZATION	7		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	6		Rejected!	
GOBP_NEUTROPHIL_CHEMOTAXIS	105	72		
GOBP_LEUKOCYTE_CHEMOTAXIS	240	177		
GOBP_POLYKETIDE_METABOLIC_PROCESS	10		Rejected!	
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	10		Rejected!	
GOBP_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	12		Rejected!	
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	209	204		
GOBP_OVULATION	22	20		
GOBP_SEQUESTERING_OF_TRIGLYCERIDE	18	16		
GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	44	35		
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	26	21		
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH	161	147		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	45	41		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	65	60		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	53	46		
GOBP_PROSTATE_GLAND_DEVELOPMENT	51	48		
GOBP_GRANULOCYTE_DIFFERENTIATION	38	29		
GOBP_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	16		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	9		Rejected!	
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	721		Rejected!	
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	165	127		
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	54	38		
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	69	52		
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION	26	24		
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION	61	61		
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	40	40		
GOBP_THYROID_GLAND_DEVELOPMENT	28	25		
GOBP_MAMMARY_GLAND_DEVELOPMENT	138	125		
GOBP_REGULATION_OF_MYELOID_DENDRITIC_CELL_ACTIVATION	5		Rejected!	
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	67	51		
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	19		Rejected!	
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	45	37		
GOBP_FOREBRAIN_DEVELOPMENT	384	318		
GOBP_MIDBRAIN_DEVELOPMENT	91	81		
GOBP_HINDBRAIN_DEVELOPMENT	153	128		
GOBP_NOTOCHORD_DEVELOPMENT	18	16		
GOBP_PARANODAL_JUNCTION_ASSEMBLY	6		Rejected!	
GOBP_OTIC_VESICLE_FORMATION	8		Rejected!	
GOBP_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	7		Rejected!	
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	33	27		
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	17		Rejected!	
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	7		Rejected!	
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	10		Rejected!	
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	77	73		
GOBP_RESPONSE_TO_CAFFEINE	14		Rejected!	
GOBP_PANCREAS_DEVELOPMENT	82	68		
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	7		Rejected!	
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT	47	38		
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	151	145		
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	204	187		
GOBP_MYOSIN_FILAMENT_ORGANIZATION	5		Rejected!	
GOBP_GENE_SILENCING_BY_RNA	684	107		
GOBP_PRIMARY_MIRNA_PROCESSING	16	15		
GOBP_PRE_MIRNA_PROCESSING	16		Rejected!	
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	7		Rejected!	
GOBP_REGULATION_OF_HISTONE_MODIFICATION	179	167		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	48	43		
GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION	102	96		
GOBP_REGULATION_OF_HISTONE_METHYLATION	82	75		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	23	21		
GOBP_POSITIVE_REGULATION_OF_HISTONE_METHYLATION	51	47		
GOBP_REGULATION_OF_HISTONE_DEACETYLATION	44	39		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	23	21		
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	37	35		
GOBP_POST_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	8		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_INDEPENDENT_DECAY	7		Rejected!	
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	248	222		
GOBP_REGENERATION	192	164		
GOBP_ANIMAL_ORGAN_REGENERATION	65	57		
GOBP_NEURON_PROJECTION_REGENERATION	62	56		
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	126	120		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	87	84		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	40	39		
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	36	36		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	54	53		
GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	31	31		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION	14		Rejected!	
GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS	10		Rejected!	
GOBP_TRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	62	59		
GOBP_RNA_3_END_PROCESSING	113	99		
GOBP_MRNA_3_END_PROCESSING	58	57		
GOBP_RRNA_3_END_PROCESSING	10		Rejected!	
GOBP_DEVELOPMENTAL_INDUCTION	35	29		
GOBP_REGULATION_OF_AXON_DIAMETER	5		Rejected!	
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	25	22		
GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	49	47		
GOBP_RRNA_METHYLATION	27	27		
GOBP_PEPTIDE_MODIFICATION	5		Rejected!	
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	8		Rejected!	
GOBP_PSEUDOPODIUM_ORGANIZATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	13		Rejected!	
GOBP_REGULATION_OF_CYCLASE_ACTIVITY	78	53		
GOBP_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	15		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	12		Rejected!	
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	22	21		
GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS	13		Rejected!	
GOBP_LYMPHOCYTE_COSTIMULATION	47	29		
GOBP_REPLICATION_FORK_PROCESSING	48	47		
GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	805		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	248	219		
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	434	394		
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	147	134		
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	193	176		
GOBP_REGULATION_OF_VESICLE_FUSION	21	18		
GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION	9		Rejected!	
GOBP_REGULATION_OF_CELL_KILLING	105	68		
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	28	21		
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	66	41		
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	683		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	193	177		
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	352	324		
GOBP_REGULATION_OF_DEFENSE_RESPONSE	683	495		
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	272	190		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	307	220		
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	31	28		
GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION	209	199		
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1584		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	520	465		
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1020		Rejected!	
GOBP_KERATINIZATION	84	24		
GOBP_REGULATION_OF_MRNA_3_END_PROCESSING	22	22		
GOBP_POSITIVE_REGULATION_OF_MRNA_3_END_PROCESSING	10		Rejected!	
GOBP_REGULATION_OF_HETEROCHROMATIN_FORMATION	29	26		
GOBP_NUCLEAR_MEMBRANE_REASSEMBLY	25	25		
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	178	168		
GOBP_PERICENTRIC_HETEROCHROMATIN_FORMATION	5		Rejected!	
GOBP_SUBTELOMERIC_HETEROCHROMATIN_FORMATION	8		Rejected!	
GOBP_RUFFLE_ORGANIZATION	59	53		
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	111	107		
GOBP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING	129	127		
GOBP_MITOTIC_INTRA_S_DNA_DAMAGE_CHECKPOINT_SIGNALING	17	17		
GOBP_MEMBRANE_RAFT_ORGANIZATION	25	23		
GOBP_HEMIDESMOSOME_ASSEMBLY	6		Rejected!	
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY	6		Rejected!	
GOBP_REGULATION_OF_INOSITOL_1_4_5_TRISPHOSPHATE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	5		Rejected!	
GOBP_CELL_SUBSTRATE_ADHESION	369	343		
GOBP_REGULATION_OF_FEVER_GENERATION	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_FEVER_GENERATION	7		Rejected!	
GOBP_RECEPTOR_INTERNALIZATION	122	104		
GOBP_ZYMOGEN_ACTIVATION	68	56		
GOBP_PLASMINOGEN_ACTIVATION	27	22		
GOBP_KILLING_OF_CELLS_OF_ANOTHER_ORGANISM	46		Rejected!	
GOBP_REGULATION_OF_MYELINATION	48	41		
GOBP_NEGATIVE_REGULATION_OF_MYELINATION	11		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MYELINATION	18		Rejected!	
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	145	115		
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	19		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	36	26		
GOBP_REGULATION_OF_PROTEIN_STABILITY	327	305		
GOBP_PROTEIN_DESTABILIZATION	48	45		
GOBP_HEAT_GENERATION	17		Rejected!	
GOBP_REGULATION_OF_HEAT_GENERATION	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HEAT_GENERATION	9		Rejected!	
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	63	55		
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	28	21		
GOBP_NEGATIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	14		Rejected!	
GOBP_POSITIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	10		Rejected!	
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	262	235		
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT	42	35		
GOBP_PROTECTION_FROM_NON_HOMOLOGOUS_END_JOINING_AT_TELOMERE	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_PLASTICITY	9		Rejected!	
GOBP_TOR_SIGNALING	129	122		
GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS	11		Rejected!	
